Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
bin_11_D1_read_count	7000	10	2751	823832	0	723	834316	0.08665781310678448
bin_12_D1_read_count	3897	2	2110	827872	0	428	834309	0.051299938032551486
bin_14_D1_read_count	514	112	282	831857	0	1545	834310	0.1851829655643586
bin_15_D1_read_count	5976	57	3814	823726	0	738	834311	0.08845622315898988
bin_17_D1_read_count	43	10	80	834000	0	175	834308	0.020975467093687222
bin_18_D1_read_count	376	83	81	833123	0	646	834309	0.07742934572202864
bin_19_D1_read_count	17371	704	8758	802011	0	5559	834403	0.66622483380333
bin_1_D1_read_count	89	0	121	833922	0	176	834308	0.02109532690565115
bin_20_D1_read_count	451	111	360	832529	0	860	834311	0.10307906763784727
bin_24_D1_read_count	2612	37	2874	827675	0	1114	834312	0.13352319036523508
bin_25_D1_read_count	721	222	153	830598	0	2616	834310	0.31355251645071974
bin_26_D1_read_count	3034	183	2732	826701	0	1660	834310	0.198966810897628
bin_2_D1_read_count	910	40	164	831648	0	1551	834313	0.18590145425038324
bin_4_D1_read_count	780	124	266	830926	0	2214	834310	0.2653689875465954
bin_6_D1_read_count	3488	17	1688	828846	0	269	834308	0.03224228941829636
bin_8_D1_read_count	163	8	61	833875	0	201	834308	0.024091822204749324
