"Bin_name"	"ID"	"Length"	"Mapped_reads"	"Total_reads"	"RPKM"
"Bin_1"	1	2028291	315529	59954302	2.59470904797265
"Bin_2"	2	2646649	493425	59956247	3.10949856659871
"Bin_4"	4	1390702	1444751	59954568	17.3275294831381
"Bin_11"	11	3688347	1093070	59955407	4.94296854422451
"Bin_12"	12	2467401	832255	59954477	5.62593950200766
"Bin_15"	15	2056866	663314	59954480	5.3788758909447
"Bin_19"	19	1781722	157169	59954235	1.47131980712589
"Bin_24"	24	1667638	400675	59954293	4.007469049354
"Bin_26"	26	1522370	614506	59954464	6.73262438718141
